0,1
True,A medida vale a partir desta terça-feira (19) para pessoas com mais de 18 anos que tenham recebido a primeira dose do imunizante. 
True,"Segundo o IBGE, o contrato com o Cebraspe, empresa que seria organizadora do processo seletivo, não será prorrogado. Órgão diz que busca nova empresa para fazer a contratação de recenseadores e agentes censitários."
True,"Comissão dedicou sessão desta segunda (18) a ouvir pessoas que tiveram Covid ou perderam familiares para a doença. Brasil soma 603.324 óbitos e 21,6 milhões de casos confirmados."
True,Comissão ouviu sete familiares de vítimas fatais da pandemia; relatório final deve ser apresentado nos próximos dias. Taxista Márcio Silva cobrou pedido de desculpas de Bolsonaro.
,
,
True,"Juíza determinou o afastamento dos policiais da função pública e aceitou pedido para que inquérito da morte de Omar seja enviado pela Polícia Civil, encerrado ou não, ao Ministério Público."
True,Comida era descartada por supermercado no Bairro Cocó e iria para caminhão de lixo. Funcionário de supermercado diz que pessoas buscam comidas vencidas e descartadas. 
True,"Julianne Bezerra Magalhães, de 36 anos, e Maria Júlia, de 5, foram encontradas mortas na tarde desta segunda-feira (18) no rio Parnaíba. Fernanda Pereira dos Santos, de 18 anos, babá da criança, segue desaparecida."
True,O delegado responsável pelo caso disse que o homem garantiu que se entregaria às autoridades na tarde desta segunda-feira (18). A vítima quebrou o braço e está fora de perigo.
True,Estudante do curso de História da UFPel postou fotos da comemoração de 24 anos nas redes sociais. Universidade informou que acompanha o caso e que repassou informações à polícia.
True,"Ele foi o primeiro negro a ocupar cargos importantes no governo dos EUA: conselheiro de Segurança Nacional na Administração de Ronald Reagan, chefe do Estado-Maior Conjunto das Forças Armadas de George H.W. Bush e secretário de Estado de George W. Bush."
True,"General morreu aos 84 anos por complicações ligadas à Covid-19. 'Muitos presidentes confiaram nos conselhos e na experiência do General Powell', escreveu o ex-presidente George W. Bush."
True,Responda 12 perguntas e saiba se você está se esforçando para diminuir o consumo de energia elétrica em casa. 
True,"Ministra do STF discursou em seminário do TSE sobre presença de mulheres na política. Afirmou também que, apesar de terem direitos iguais, mulheres são 'permanentemente silenciadas'."
True,"Imóvel tem 37 suítes, adega subterrânea e até parque aquático. Imóvel foi erguido por Edmar Moreira, que em 2009 chegou a perder o cargo de corregedor da Câmara dos Deputados, após descoberta que ele não declarou o bem na prestação de contas. "
True,"Advogada pernambucana Nathália Andrade, de 34 anos, chegou à cerimônia com mais de uma hora de atraso. Madrinhas que estavam no carro registraram momento."
True,Documentos enviados ao Tribunal Superior de Los Angeles citam 'motivos pessoais' para a mudança.
True,"Atriz americana falou pela primeira vez que sofre de dismorfia corporal, transtorno mental em que a pessoa tem uma imagem negativa de alguma parte do corpo."
True,Reportagem do jornal 'Wall Street Journal' afirma que magnata da tecnologia trocou mensagens em 2007.
True,País norte-africano é a origem de 60% da cannabis consumida na Europa.
True,"Moradores da ilha também participaram do treinamento com o biólogo brasileiro Paulo Bertuol, que trabalha no Parque Nacional Marinho de Bonaire. "
True,Polícia Civil analisa imagens para identificar e prender dupla que fugiu após atirar em administrador e roubar moto dele na sexta (15) na Zona Oeste de São Paulo. Vítima foi levada ao Hospital Albert Einstein. 
True,"Sem contrato de gestão desde 31 de dezembro de 2019, Secretaria Especial de Cultura publicou edital de chamamento só depois que um incêndio atingiu um galpão da instituição."
True,"No assalto, os criminosos renderam clientes e funcionários de uma agência bancária, utilizando-os como escudo humano."
True,"Eric e Greg Serson procuram respostas sobre a morte da mãe, que foi encontrada em um quarto de hotel com um tiro na cabeça e outro no peito."
True,Novos computadores têm versões com telas de 14 e 16 polegadas. Os fones de ouvido sem fio ganharam mudanças no design e passaram a suportar áudio espacial.
True,"Eles divulgaram abaixo-assinado. Proposta pode ser votada nesta terça. Prevê, entre outros pontos que Congresso escolherá corregedor do MP. Membros do MP veem interferência política."
True,Conferência divulgou documento no domingo. Bispo Dom Pedro Luiz Stringhini entregará pessoalmente ao deputado Carlão Pignatari na tarde desta segunda (18). Parlamentar bolsonarista Frederico D´Avila (PSL) proferiu as agressões na Tribuna da plenária no dia 14.
True,"A temperatura do planeta está aumentando em decorrência das atividades humanas, e as mudanças climáticas ameaçam todos os aspectos da nossa vida na Terra."
True,Governo dos EUA quer que Suprema Corte acelere sua decisão antes que outras instâncias de Justiça Federal tomem decisões sobre o caso.
True,"Na sexta-feira (15), a moeda norte-americana recuou 1,10% e foi cotada R$ 5,4526."
True,"Bitcoin voltou a subir, o que deve trazer uma nova onda de investidores para a moeda; saiba o que levar em conta antes de colocar dinheiro nos criptoativos."
True,"Falta de infraestrutura mínima, como computador, internet e energia, reduz potencial do trabalho remoto de 25,5% para 17,8%, bem abaixo do percentual de países desenvolvidos, segundo pesquisadores do FGV Ibre."
True,"Após sucesso, coreografia ganhou mais adeptos na comunidade. Ensaios contaram com ritmos mais tradicionais em festas de debutantes, como valsa, mas um dos coreógrafos contou que a ideia era celebrar: 'vamos soltar umas coreografias animadas para os crias dançarem'."
True,"Segundo Hospital da Restauração, Kemilly Kethelyn segue intubada e internada em estado grave, mas estável. Garota foi atingida durante uma festa de Dia das Crianças no Recife."
True,"O 'pequeno' Finnley nasceu de uma cesárea com mais de 60 centímetros. 'Ele é o assunto do hospital!', comemorou a mãe coruja, Cary Patonai, que estava na 38ª semana de gestação."
True,"Em vídeos no TikTok, influenciadora disse que não conseguia dormir e se sentia enjoada por conta do mau cheiro."
,
,
True,"Companhia informou que sua equipe identificou a ameaça e que estava ""trabalhando para contê-la, atuando para assegurar a segurança dos ambientes afetados antes de restabelecê-los on-line""."
True,"Dados mostram exatamente o contrário. Com o avanço da imunização, número de óbitos tem caído no país. Mensagem cria narrativa falsa e faz correlação sem sentido."
True,Polícia Militar foi chamada e prendeu o homem de 55 anos detido pelo filho. Mulher contou à corporação que é divorciada do investigado e que ele quebrou janelas da casa e a ameaçou.
