0,1
False,"“Câncer no seio não precisa mais fazer cirurgia. Presidente Bolsonaro vai autorizar a importação dessa tecnologia de Israel. Embora chamado de machista, foi o único presidente que se lembrou em primeiro lugar das mulheres… Vamos divulgar!!”
Legenda de post publicado no Facebook que, até as 18h de 18 de outubro de 2021, tinha 24 compartilhamentos
"
,
False,"“A filha de uma amiga minha ganhou essa boneca linda de aniversário da tia. Ela veio com essa roupinha. A boneca é uma menina, né, veio com um vestido. Nada na caixa identificava coisa diferente. A criança tem 6 anos de idade, quando ela foi tirar a roupa da boneca, que ela tem costume tirar da roupa e dar banho, brincar… (…) a boneca tá sem a calcinha. Olha o que que a boneca tem. Ela tem um piu-piu e tem o ânus (…) Olha o que é a ideologia de gênero”
Vídeo que circula pelo WhatsApp
"
False,"“Você sabe o que é isso? Aqui em Pernambuco, Santa Cruz do Capibaribe, o MST foi destruir as casas que seriam entregues para as pessoas mais pobres, famílias carentes (…)”

Conteúdo de vídeo que circula em correntes de WhatsApp
"
False,"“UNIÃO EUROPEIA SUBSTITUIRÁ VACINAS POR IVERMECTINA
Boas notícias para quem não gosta da vacina covid-19: […] Todas as vacinas não serão mais aprovadas a partir de 20 de outubro de 2021. A União Europeia aprovou cinco terapias que estarão disponíveis em todos os hospitais dos Estados-Membros para o tratamento de covid-19.”
Trecho de texto que, até 18h do dia 15 de outubro de 2021, havia sido compartilhado por 200 usuários no Facebook
"
False,"Título de texto publicado no site Stylo Urbano e que, até às 19h do dia 15 de outubro de 2021, tinha sido compartilhado por 84 pessoas no Facebook
"
False,"“Infelizmente acaba de chegar triste notícia sobre o ator Murilo Rosa aos 51 anos: ‘Descanse em paz’”
Título de texto publicado pelo site Notícia Relevante que, até as 17h de 15 de outubro de 2021, tinha 457 compartilhamentos no Facebook
"
False,"“FMI: Inflação global deve atingir seu pico nos últimos meses de 2021, mas Brasil se destaca em controle”
"
False,"“NOVAS MULTAS VALENDO A PARTIR DE HOJE:
"
False,"“Tabata Amaral criadora da PL dos absorventes teve sua campanha financiada pelo empresário Jorge Paulo Lemann, que por coincidência pertence á empresa P&G que fabrica absorventes”
Texto que circula em correntes de WhatsApp
"
False,"FALSO
"
False,"“Olha o Carrefour em Bruxelas na Europa, país riquíssimo, não tem comida. ‘A economia a gente vê depois’. Agradeça, brasileiro, porque ainda que subiu um pouco os alimentos ainda tem para comprar. Viva o nosso Brasil. #BolsonaroTemRazao”
"
False,"FALSO
"
,
False,"“(…) Essa ilha pequenininha aqui. O rapaz era tratador do zoológico em São Paulo, filho do sem dedo, o Lulinha, então, é dono dessa ilha aqui. Esse iate aí que vocês estão vendo, ó aí que belezinha. É praí que está indo nosso dinheiro, ó. Simples assim. (…) Só colocar o pai dele analfabeto para ser presidente da República e fica com isso aqui, ó. Conhecida como Ilha das Palmeiras, aqui em Angra dos Reis. Era a ilha do Luciano Huck, quem comprou foi o Lulinha. com dinheiro da JBS. R$ 500 milhões.”
Conteúdo de vídeo que circula em grupos de WhatsApp
"
False,"“Médico diretor de hospital na Irlanda avisa que o bill gates e a gavi irão lançar uma nova epidemia chamada Marburg.”
"
False,"“SURREAL! PREFEITURA DO RECIFE EXIGE QUE OS TIMES ESPORTIVOS JUVENIS TENHAM 50% DOS SEUS ATLETAS LGBT’S”
"
False,"“O governo de Joe Biden nos Estados Unidos começou mais de um mês depois do início da vacinação, mas a média de mortes por covid já está em 1.156, segundo a plataforma Worldometer, que monitora a pandemia pelo mundo. O número é 10% maior que a média do governo Bolsonaro (1.052), que começou a vacinar depois, e pouco menor que a de Donald Trump (1.303), cuja desburocratização acelerou o desenvolvimento das vacinas e possibilitou a reação mundial à covid-19 em tempo recorde”.
Trecho da matéria publicada no site Diário do Poder em 06/10/2021
"
False,"“Traficante? Terrorista? Mulher-bomba? Não, a Polícia francesa correndo para CAÇAR uma francesa que entrou no shopping sem o passaporte da vacina. Entenderam onde vamos parar? Será que vai passar no Jornal Nacional e na Fátima Bernardes?”
Legenda de vídeo que, até 15h do dia 7 de outubro de 2021, havia sido visualizado por mais de 10,3 mil usuários no Instagram
"
False,"“Austrália isolada. Internet desligada e servidores inoperantes”
Legenda da imagem publicada no Instagram com 9.919 curtidas e 695 comentários até as 19h 06 de outubro de 2021.
"
False,"“Charles Achcar Chelala, marido do senador saltitante Randolphe Rodrigues ! (…)”
Texto que circula em correntes de WhatsApp
"
False,"“Urgente! Fraude nas eleições norte-americanas sendo descobertas. (…)”
"
False,"“Essa SIÊNCIA”
Legenda de post no Instagram que, até as 18h do dia 6 de outubro, tinha sido curtido por 1.678 pessoas
"
False,"“Dia de Todas as Crianças do Extra ! Gire a Roda da Sorte e ganhe presentes no valor de até R$3.000!”
"
False,"FALSO
"
False,"“E aí pessoal, galera do bem brasileira. Esse aqui é o Hotel Brisa, que está sendo construído na praia de Antunes, distrito de Maragogi, Alagoas. Adivinha de quem que é esse hotel na beirada da praia? Renan Calheiros Filho. Você acha que você, simples mortal, iria conseguir uma licença ambiental para construir um hotel desse? Vou dar um zoom a mais aqui para vocês verem o tamanho do hotel. Está ok? Está sendo construído com seu dinheiro, você pode vir cá e hospedar porque já tá pago, viu? Já tá pago. Licença para construção até 2023. Tem que terminar isso aí. Então, ele tem que ser reeleito, papai Renan tem que ser reeleito porque senão o filhinho pode ter problema para acabar de construir o Hotel Brisa. Ok? É isso aí. Continua votando e apoiando esses babacas. Abraços”
Narração em vídeo que circula no WhatsApp
"
False,"“Juiz autoriza partilha de 146 milhões de Marisa Letícia Lula entre seus herdeiros. E vc aí gritando: ‘Cadê o cheque do Queiroz?’”
Texto em imagem publicada no WhatsApp
"
False,"“Supremo Tribunal autoriza cancelamento da Carteira Nacional de Habilitação em caso de IPVA atrasado”
Áudio que circula pelo WhatsApp
"
False,"“TRUMP VENCEU NO ARIZONA! A imprensa está caladinha!
"
False,"“(…) PELO FIM DO GENOCÍDIO
FORA BOLSONARO, O RESTO É TUDO LADRÃO”
Texto em imagem publicada no WhatsApp
"
False,"“João […], de Marília, no interior de São Paulo, tinha 16 anos. O Samuel […], de Jaú, no interior de São Paulo, tinha 13 anos, infartou e morreu. Julia […], de Blumenau, em Santa Catarina, tinha 15 anos, teve parada cardíaca e morreu. A Isabelle […], como eu disse, tinha 16. […] Nilmar […], 15 anos, infartou e morreu. Todos eles com relatos de que tinham se vacinado dias antes, no máximo uma semana ou duas antes.”
Comentário da jornalista Cristina Graeml na rádio Jovem Pan que circula no WhatsApp
"
False,"“A Globo só passa vergonha”
"
False,"“Não vacinados não poderão usar smartphones. Não vacinados terão que voltar ao tempo das cavernas. Google, Apple e Samsung anunciaram recentemente planos para oferecer um recurso que chama prontamente um código QR que pode ser lido para verificar rapidamente o status de vacinação do usuário.”
Imagem publicada no Facebook que, até 15h do dia 30 de setembro de 2021, havia sido compartilhado por 23 pessoas
FALSO
"
False,"A informação analisada pela Lupa é falsa. A cena em que fãs gritam “fora” aconteceu durante um show do cantor Zé Vaqueiro em Abaetetuba (PA) no dia 18 de setembro, mas as vaias não foram direcionadas ao artista. Na ocasião houve um princípio de briga entre pessoas da plateia, e o cantor parou o show diversas vezes para apaziguar o conflito. Em uma delas, os participantes pediram a saída de um dos fãs que estava causando o tumulto, e não a de Vaqueiro. 
"
False,"“O CEO da Pfizer teve que cancelar a sua viagem planejada para Israel porque ele não estava vacinado. 

Deixa eu repetir para vocês: PORQUE ELE NÃO ESTAVA VACINADO”

Texto em post compartilhado no Facebook que, até as 11h de 28 de setembro de 2021, teve 75 compartilhamentos
"
False,"“Bolsonaro is the best brazilian president of all the times and people loves’m”
Texto publicado no Facebook que, até 17h do dia 27 de setembro de 2021, havia sido compartilhado por 55 pessoas
FALSO
"
False,"A informação analisada pela Lupa é falsa. A tabela apresentada como prova de um possível cronograma de “cepas fabricadas da Covid-19” não tem qualquer relação com as datas em que foram de fato identificadas diferentes versões do novo coronavírus. A variante zeta, detectada no Brasil em outubro do ano passado, por exemplo, seria “liberada” apenas em agosto deste ano, segundo o post. Já a delta, sequenciada na Índia também em outubro de 2020, ficaria conhecida, de acordo com a publicação, só em junho de 2021. Esse desencontro de datas mostra que se trata de um conteúdo sem nenhuma base científica.
"
